"date","sitename","county","aqi","status","so2","co","o3","pm10","pm2.5","no2","nox","no","windspeed","winddirec","after_reform"
2016-04-15,"Dongshan","Yilan County",34,"Good",0.9,0.28,37,34,NA,5.9,7.4,1.5,2.5,241,FALSE
2016-04-15,"Cailiao","New Taipei City",39,"Good",11,0.38,25,37,13,19,23,4.2,3.4,92,FALSE
2016-04-15,"Hengchun","Pingtung County",48,"Good",1.2,0.19,49,26,6,2.2,4.7,2.6,7,45,FALSE
2016-04-15,"Daliao","Kaohsiung City",118,NA,3.8,0.59,14,108,36,32,34,1.6,1.4,323,FALSE
2016-04-15,"Banqiao","New Taipei City",39,"Good",5.5,0.58,37,39,15,17,22,5,3.4,327,FALSE
2016-04-15,"Hukou","Hsinchu County",49,"Good",1.5,0.18,36,27,12,6,9.2,3.2,3.4,41,FALSE
2016-04-15,"Keelung","Keelung City",67,"Moderate",9.5,0.2,29,33,21,17,19,1.6,0.5,303,FALSE
2016-04-15,"Tainan","Tainan City",157,NA,4.1,0.41,17,64,46,19,19,0,2.3,41,FALSE
2016-04-15,"Lunbei","Yunlin County",63,"Moderate",1.7,0.31,29,29,16,8.3,10,2.1,4.5,228,FALSE
2016-04-15,"Tainan","Tainan City",118,NA,4.3,0.46,6.7,83,47,25,26,0.7,1.5,36,FALSE
2016-04-15,"Zhongshan","Taipei City",NA,NA,1.4,0.24,38,14,NA,5.5,6.7,1.2,2.4,124,FALSE
2016-04-15,"Taixi","Yunlin County",94,"Moderate",2.3,0.25,49,54,34,5.9,6.9,0.9,14,28,FALSE
2016-04-15,"Keelung","Keelung City",42,"Good",1.8,0.2,50,39,19,0.6,1.9,1.3,2.8,82,FALSE
2016-04-15,"Zuoying","Kaohsiung City",138,NA,3.9,0.68,36,104,66,27,29,1.4,1.9,347,FALSE
2016-04-15,"Puli","Nantou County",38,"Good",1.4,0.21,8,20,7,7.7,7.6,-0.1,1,296,FALSE
2016-04-15,"Pingtung","Pingtung County",144,NA,3.8,0.52,59,118,57,15,17,2.2,1.5,311,FALSE
