"county","lower","mean","upper"
"Changhua County",64.834205243285,73.44,82.045794756715
"Chiayi City",45.0907048257803,65.25,85.4092951742197
"Chiayi County",67.2329342265412,77.9411764705882,88.6494187146352
"Hsinchu City",30.1354353855016,42,53.8645646144984
"Hsinchu County",52.7570183955845,62.68,72.6029816044155
"Hualien County",25.6327960891832,39.5454545454545,53.4581130017259
"Kaohsiung City",74.06890301529,80.12,86.17109698471
"Keelung City",27.5323940079319,40,52.4676059920681
"Kinmen County",60.3322754143625,92.2222222222222,124.112169030082
"Lienchiang County",60.1198155161516,74.2,88.2801844838484
"Miaoli County",52.5220787545504,59.1764705882353,65.8308624219202
"Nantou County",69.3484935534011,79.188679245283,89.028864937165
"New Taipei City",54.2232277288571,58.7619047619048,63.3005817949524
"Penghu County",39.9528361811391,51.4285714285714,62.9043066760038
"Pingtung County",50.6287766815131,63.275,75.9212233184869
"Taichung City",55.4339993667517,63.7358490566038,72.0376987464559
"Tainan City",67.332859030429,76.1311475409836,84.9294360515382
"Taipei City",44.3077275327967,49.1010101010101,53.8942926692236
"Taitung County",23.3001913783343,28,32.6998086216657
"Taoyuan City",55.3648046582733,62.96,70.5551953417267
"Yilan County",33.6907090631197,38.6774193548387,43.6641296465578
"Yunlin County",73.7204072622365,83.5454545454545,93.3705018286726
