"month","Mean","SD","N","Lower","Upper"
"Січ",67.0919983670137,33.4437334258859,542403,67.0029957510166,67.1810009830108
"Лют",68.5817667864486,33.2155762222372,498267,68.48953940579,68.6739941671072
"Бер",71.7405414992805,30.786157569136,550428,71.6592108433691,71.8218721551919
"Кві",65.4961778552416,26.2380446583597,530341,65.4255618822435,65.5667938282396
"Тра",49.191132305157,23.1843546786538,539497,49.1292666579793,49.2529979523346
"Чер",32.8070903692957,16.0280796054385,527017,32.7638172435267,32.8503634950646
"Лип",32.4804813873145,16.0965014211581,481964,32.4350377197789,32.5259250548501
"Сер",35.9198950348733,16.7346548589176,482015,35.8726522310651,35.9671378386815
"Вер",50.0059898306426,25.402858816021,407951,49.9280377030696,50.0839419582156
"Жов",57.1603075366909,27.5793311723459,423780,57.0772722225618,57.24334285082
"Лис",57.9948392403793,28.5357475542197,414533,57.907971393196,58.0817070875625
"Гру",59.3891674397757,31.2084033209651,484012,59.3012464309937,59.4770884485577
