county,pop_2020,area
Changhua County,1186795,1074.4
Chiayi City,252028,60.0
Chiayi County,464164,1903.6
Hsinchu City,499468,104.2
Hsinchu County,633163,1427.5
Hualien County,300406,4628.6
Kaohsiung City,2734275,2954.7
Keelung City,367264,132.8
Kinmen County,67173,151.7
Lienchiang County,11813,28.8
Miaoli County,521962,1820.3
Nantou County,430211,4106.4
New Taipei City,4365947,2052.6
Penghu County,81738,126.9
Pingtung County,755047,2775.6
Taichung City,3033840,2214.9
Tainan City,1875076,2191.7
Taipei City,2594581,271.8
Taitung County,189452,3515.3
Taoyuan City,2441064,1221.0
Yilan County,433319,2143.6
Yunlin County,591111,1290.8
