"county","N","SD","lower","mean","upper"
"Changhua County",264580,29.351464748458,55.8733392061057,55.9851802857359,56.097021365366
"Chiayi City",63116,35.3842615000309,63.5521336001905,63.8281893656125,64.1042451310346
"Chiayi County",125864,32.2140827397346,61.4186658581979,61.5966360516113,61.7746062450246
"Hsinchu City",66796,24.6581626454154,49.0606346581918,49.2476345888975,49.4346345196033
"Hsinchu County",125585,23.5183132403139,47.7998940305324,47.9299677509257,48.0600414713189
"Hualien County",63002,14.0038101332414,32.5099302423278,32.6192819275579,32.728633612788
"Kaohsiung City",779483,34.6116933811887,64.9873110200543,65.0641476465811,65.1409842731079
"Keelung City",62700,18.852392988211,42.6378237698267,42.7853907496013,42.9329577293758
"Kinmen County",62976,33.2021195759652,63.1781013819112,63.4374206046748,63.6967398274384
"Lienchiang County",62471,30.8185053809427,62.1603211269431,62.4019945254598,62.6436679239765
"Miaoli County",191775,24.5553154916785,48.5757517835951,48.6856524573067,48.7955531310184
"Nantou County",189077,30.7934324162649,58.6798928641946,58.8186929134691,58.9574929627436
"New Taipei City",798842,21.7278961788222,46.2713897596983,46.3190368057764,46.3666838518544
"Penghu County",62765,24.1159939587271,47.6214152313911,47.8100852385884,47.9987552457856
"Pingtung County",275748,32.4525014737298,56.0312147064137,56.1523419934143,56.2734692804149
"Taichung City",321868,27.4622606938574,52.4127844413453,52.5076584189792,52.6025323966132
"Tainan City",329388,32.8361689347184,60.545752951734,60.6578897834772,60.7700266152205
"Taipei City",439860,20.5619198823747,45.5060741394866,45.5668394489156,45.6276047583445
"Taitung County",125374,12.7022746902618,29.8903017476136,29.9606138433806,30.0309259391477
"Taoyuan City",393394,24.1949357082835,48.9921981395784,49.0678047962094,49.1434114528404
"Yilan County",128933,15.0779348334979,36.4470811755915,36.5293834782406,36.6116857808898
"Yunlin County",250424,32.8241893109809,60.0006088226451,60.1291689294956,60.2577290363461
