"variable","N","SD","Error","lower","mean","upper"
"aqi",5831797,29.813,0.024,54.239,54.263,54.287
"so2",5742414,1.731,0.001,1.993,1.995,1.996
"co",5728069,0.25,0,0.34,0.34,0.34
"o3",5674781,18.348,0.015,30.406,30.421,30.436
"pm10",5735553,24.287,0.02,34.363,34.383,34.403
"pm2.5",5679980,12.698,0.01,16.836,16.846,16.856
"no2",5716208,8.679,0.007,11.245,11.252,11.259
"nox",5713061,14.883,0.012,14.704,14.716,14.729
"no",5712730,8.357,0.007,3.444,3.451,3.458
"windspeed",5579525,1.694,0.001,2.213,2.214,2.216
"winddirec",5578709,114.542,0.095,163.219,163.314,163.409
