month,Estimate,Se,Norm_L,Norm_U,Basic_L,Basic_U,Perc_L,Perc_U
01,30.9,0.0627,30.7425,30.9881,30.8,31,30.8,31
02,31,0.0686,30.8672,31.136,30.9,31.1,30.9,31.1
03,36,0.071,35.8839,36.1623,35.9,36.2,35.8,36.1
04,33.9,0.0795,33.7592,34.0709,33.8,34.1,33.7,34
05,33.4,0.0881,33.1891,33.5345,33.2,33.5,33.3,33.6
06,19.8,0.0582,19.656,19.884,19.7,19.9,19.7,19.9
07,18.5,0.0552,18.3523,18.5688,18.4,18.5975,18.4025,18.6
08,21.8,0.058,21.7352,21.9627,21.8,22,21.6,21.8
09,22.9,0.0732,22.7409,23.0279,22.7,23,22.8,23.1
10,38.4,0.0856,38.2806,38.6159,38.3,38.6,38.2,38.5
11,35.1,0.0902,34.9356,35.2894,34.9,35.3,34.9,35.3
12,27.1,0.0866,26.9162,27.2556,26.9,27.2975,26.9025,27.3
