"county","mean_before","mean_after","delta","p_value","p_value_BH","reject_BH"
"Hsinchu County",68.6231509744071,45.0293864502644,-23.5937645241428,0,0,TRUE
"Taichung City",74.6301003658193,42.404906680179,-32.2251936856403,0,0,TRUE
"Hsinchu City",63.9468235294118,41.3701793171211,-22.5766442122907,0,0,TRUE
"Miaoli County",66.3895619757689,42.9147629575043,-23.4747990182646,0,0,TRUE
"Taoyuan City",64.5456392622695,43.7824070273377,-20.7632322349318,0,0,TRUE
"Changhua County",80.2672828957589,46.9768763278818,-33.2904065678771,0,0,TRUE
"Nantou County",93.5471918876755,47.1422254974208,-46.4049663902547,0,0,TRUE
"Yunlin County",96.000761703873,45.3714689265537,-50.6292927773193,0,0,TRUE
"Chiayi County",87.5787571411916,47.5907745436606,-39.987982597531,0,0,TRUE
"Tainan City",94.2765472503068,45.4070922683455,-48.8694549819614,0,0,TRUE
"New Taipei City",62.3262126324386,45.243726242932,-17.0824863895066,0,0,TRUE
"Pingtung County",83.4647469319002,39.9599127892572,-43.504834142643,0,0,TRUE
"Keelung City",56.5336144296088,38.399459193707,-18.1341552359018,0,0,TRUE
"Taipei City",58.320691615665,45.5759547084886,-12.7447369071764,0,0,TRUE
"Chiayi City",100.670571696345,45.6089412920658,-55.0616304042791,0,0,TRUE
"Yilan County",47.1480834207154,35.1520510930975,-11.9960323276178,0,0,TRUE
"Kaohsiung City",99.2734638889431,43.7213368872757,-55.5521270016674,0,0,TRUE
"Lienchiang County",77.3793103448276,53.0793416850897,-24.2999686597379,0,0,TRUE
"Penghu County",61.8665572232645,40.6295656465943,-21.2369915766703,0,0,TRUE
"Taitung County",36.1645793950851,27.4972979611889,-8.66728143389617,0,0,TRUE
"Kinmen County",96.2142347060224,49.6760009825596,-46.5382337234628,0,0,TRUE
"Hualien County",46.7931034482759,33.1773955773956,-13.6157078708803,4.12621743653637e-297,4.12621743653637e-297,TRUE
